vlr_latitude,vlr_longitude,cod_munic,cod_cnes,nom_estab,dsc_endereco,dsc_bairro,dsc_cidade,dsc_telefone,dsc_estrut_fisic_ambiencia,dsc_adap_defic_fisic_idosos,dsc_equipamentos,dsc_medicamentos
-9.34695124626132,-40.3852057456958,261110,2429764,UPS JANUARIO F NUNES,POVOADO DE SERROTE DO URUBU,ZONA RURAL,Petrolina,(87)38611456,Desempenho acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-22.0368361473077,-42.9901456832873,330540,2294877,POSTO DE SAUDE DE ANTA,RUA ANTONIO ALVES DE CARVALHO,ANTA,Sapucaia,2422710421,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho muito acima da média
-26.7414307594292,-52.9707098007187,421775,2537893,POSTO DE SAUDE DE SUL BRASIL,RUA DR JOSE LEAL FILHO,CENTRO,Sul Brasil,4933670026,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho acima da média,Desempenho muito acima da média
-13.6370587348934,-43.4363365173327,290390,5871808,UNIDADE DE SAUDE DA FAMILIA DA BATALHA,ASSENTAMENTO BATALHA,ZONA RURAL,Bom Jesus da Lapa,77 34815039,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-3.0269479751586,-60.1796722412092,130260,2016117,PSR NOSSA SENHORA DO LIVRAMENTO,COMUNIDADE NOSSA SRA DO LIVRAMENTO,RIO NEGRO,Manaus,9232511120,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-23.86747598648,-52.8732490539535,412790,2734664,NIS I POSTO 24 HORAS,AV LONDRINA,CENTRO,Tuneiras do Oeste,4436531308,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média
-27.90001630783,-48.9291143417344,421590,2622734,UNIDADE SANITARIA DE SAO BONIFACIO,AV CLEMENTE LEHMKUHL,CENTRO,São Bonifácio,4832520064,Desempenho acima da média,Desempenho muito acima da média,Desempenho acima da média,Desempenho acima da média
-14.3435847759243,-60.2327156066877,510550,2395053,POSTO DE SAUDE RICARDO FRANCO,RUA PRINCIPAL,ZONA RURAL,Vila Bela da Santíssima Trindade,(65)32591128,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-10.5664980411526,-48.9105319976792,171500,2468220,UNIDADE BASICA DE SAUDE NOVA ROSALANDIA,AVENIDA ARAGUAIA,CENTRO,Nova Rosalândia,6335201444,Desempenho acima da média,Desempenho acima da média,Desempenho acima da média,Desempenho acima da média
-10.7106292247769,-62.2592854499799,110015,2496909,CENTRO DE SAUDE CARLOS CHAGAS,R D PEDRO II,CENTRO,Ouro Preto do Oeste,6934613310,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-10.7499611377713,-40.3623318672168,292460,6908357,USF BAIRRO ISMAEL LOPES,RUA ISMAEL,ISMAEL LOPES,Pindobaçu,Não se aplica,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-7.85855054855324,-35.8061170577993,261450,2347865,UNIDADE DE SAUDE DA FAMILIA DE LAGOA DA VACA,SITIO LAGOA DA VACA,ZONA RURAL,Surubim,(81)36341584,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-5.35941839218124,-36.8054223060597,240070,2410427,UNIDADE DE SAUDE DA FAMILIA DE ESTREITO,DISTRITO ESTREITO,ZONA RURAL,Alto do Rodrigues,(84)5232485,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-20.4969155788416,-54.6768736839279,500270,3311260,UBSF SAO CONRADO UBSF PASTOR ELISEU FEITOSA DE ALENCAR,RUA PAMPULHA,SAO CONRADO,Campo Grande,6733146358,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho acima da média
-29.6537303924552,-51.1117029190049,431340,2230879,UNIDADE BASICA DE SAUDE SAO JOSE NH,RUA BERNARDO LUDWIG,SAO JOSE,Novo Hamburgo,5135831401,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-6.09307765960676,-38.3753085136402,240320,2380692,CENTRO DE SAUDE FRANCISCO ILDOMAR DE CASTRO,RUA PRINCESA ISABEL,CENTRO,Doutor Severiano,33560002,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho acima da média
-27.3173010349266,-49.6367883682237,420190,2377128,UNIDADE SANITARIA INTEGRADA DE AURORA,RUA 25 DE JULHO,CENTRO,Aurora,4735240270,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média
-30.1683390140525,-53.517022132872,431960,2242745,POSTO DE SAUDE CENTRAL,RUA PERCIVAL BRENNER,CENTRO,São Sepé,5532331485,Desempenho acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-28.4566497802726,-52.1973538398728,431180,2245108,POSTO DE SAUDE AMBULATORIO CENTRAL MARAU,AV PRESIDENTE VARGAS,CENTRO,Marau,5433424547,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-30.1525354385367,-51.3434028625473,430930,2225921,UNIDADE BASICA DE SAUDE SAO JORGE,RUA CARLOS MOTA,SAO JORGE,Guaíba,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-9.741,-36.503,270420,2007347,POSTO DE SAUDE TIPI,SITIO TIPI,ZONA RURAL,Limoeiro de Anadia,(82)5231181,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-2.87037134170524,-44.1055369377123,210110,2645726,UBS MARGARIDA C LIMA CENTRO GRANDE PSFSB,POVOADO DE CENTRO GRANDE,CENTRO GRANDE,Axixá,(98)361 1338,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-9.83,-36.738,270410,6906079,POSTO DE SAUDE DE FOLHA MIUDA DE BAIXO,POV FOLHA MIUDA DE BAIXO,ZONA RURAL,Lagoa da Canoa,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-23.6209487915032,-50.1676082611069,410610,6859240,UAPSF MARIA JOSE DE OLIVEIRA,RUA MARIA SOUZA,CENTRO,Conselheiro Mairinck,4335611891,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-9.00931477546666,-36.3293838500966,261010,2632640,UNIDADE DE SAUDE DA FAMILIA DA COAHB,RUA B,CENTRO,Palmeirina,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média
-19.790807962417,-44.0047502517687,315460,2182386,UNIDADE DE SAUDE DA FAMILIA FLAMENGO,AV PRINCIPE DUARTE,FLAMENGO,Ribeirão das Neves,(31)36386561,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-17.6418328285212,-42.6786231994616,311230,2134063,POSTO DE SAUDE DE PONTE NOVA,PONTE NOVA,ZONA RURAL,Capelinha,3335164154,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-30.4481470584861,-51.6436600685105,432055,2226782,AMBULATORIO SANTA ANA,LINHA BOA ESPERANCA,DOBRADA,Sertão Santana,5134951206,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-3.50030422210683,-42.1938300132739,220540,2369168,CMS DE SAO VICENTE,R PRINCESA ISABEL,CENTRO,Joaquim Pires,( )33601153,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-13.1279464111282,-39.0058787840283,291780,2469782,UNIDADE BASICA DE SAUDE DE SAO BERNARDO,RUA CHILE,SAO BERNARDO,Jaguaripe,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-19.7089362144464,-44.5583367347704,316310,6857663,PROGRAMA SAUDE DR JOSE MORAIS,PRACA ZECA GONCALVES,CENTRO,São José da Varginha,3732751130,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-3.81399393081654,-60.3533291816694,130110,6871569,UNIDADE BASICA DE SAUDE RAIMUNDO CAVALCANTE,RUA LAGO PRETO,SEBASTIAO BORGES,Careiro,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-22.764,-43.399,330045,2289539,UBS ONOFRE ANICETO,RUA AXELIA,NOVA PIAM,Belford Roxo,2137724532,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
2.42958,-60.9005,140030,6895107,POSTO DE SAUDE J FLORES,AVENIDA MARANHAO,J FLORES,Mucajaí,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-16.9763307970958,-40.2414352380254,293325,2526204,PSF I ANIBAL ALVES DE OLIVEIRA,RUA PRINCIPAL,CENTRO,Vereda,7336616138,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho acima da média
-3.20593714714041,-45.0032186508166,211280,2530538,UNIDADE PSF CITEL,AVENIDA JORGE ABRAAO DUAILIBE,CITEL,Viana,(98)3511167,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-27.6032888889305,-48.5755133628831,420540,6935257,CS COQUEIROS,RUA ENGENHEIRO MAX DE SOUZA,COQUEIROS,Florianópolis,Não se aplica,Desempenho acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-1.52132749557491,-45.0787067413317,210083,6917283,UNIDADE BASICA DE SAUDE DE TABATINGA,POVOADO TABTINGA,POVOADO,Apicum-Açu,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-6.72136902809124,-36.0591888427724,250160,2364379,CENTRO DE SAUDE DE BARRA DE SANTA ROSA,RUA NOSSA SENHORA DA CONCEICAO,CENTRO,Barra de Santa Rosa,(83)33761676,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-22.6262998580926,-43.1733083724963,330250,3308774,UNIDADE DE SAUDE DA FAMILIA DE MAURIMARCIA,AV CANAL,MAURIMARCIA,Magé,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-22.7592301368707,-48.5763716697679,355010,2047942,UBS II SAO MANUEL,RUA CARLOS AMARAL FARACO,CENTRO,São Manuel,1438414702,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-18.1669020652766,-42.7656126022326,312695,2199777,CENTRO DE SAUDE MARIA SEBASTIANA DE QUEIROZ,RUA PADRE JULIO,CENTRO,Frei Lagonegro,3334339069,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média
-3.13397884368887,-42.902727127074,210170,2451182,PS MAMEDE,POVOADO MAMEDE,POVOADO,Barreirinhas,(98)3491203,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-16.692583,-49.09966,522045,3961052,UNIDADE DE SAUDE DA FAMILIA CONJUNTO UIRAPURU,RUA 17 ESQUINA COM JOSE FRANCISCO RIBEIRO,CONJUNTO UIRAPURU,Senador Canedo,32759998,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho acima da média,Desempenho acima da média
-8.7501704692838,-43.9433598518359,220310,2405180,PS LAGOA GRANDE PSF,LAGOA GRANDE,ZONA RURAL,Cristino Castro,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-18.067746162414,-41.4275979995716,312680,2208393,CENTRO DE SAUDE FRANCISCO CARLOS MAGALHAES DE FREI GASPAR,PRACA MARIA LEAL,CENTRO,Frei Gaspar,(33)35121101,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-19.032922983169,-46.154530048369,310380,2102099,UNIDADE BASICA DE SAUDE DE ARAPUA,RUA ANTONIO PRUDENCIO PAULA,CENTRO,Arapuá,3438561240,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-3.62546,-39.5083,231380,2479842,POSTO DE SAUDE DE SEVERINO,SITIO SEVERINO,SITIO SEVERINO,Uruburetama,3531379,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-11.9096624851223,-39.1988968849171,290640,2600544,PSF DE BELO ALTO,POVOADO DE BELO ALTO,BELO ALTO,Candeal,(75)2352130,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-2.10640311241144,-47.9291224479661,150720,5559324,CASF DO PATRIMONIO,COM PATRIMONIO,ZONA RURAL,São Domingos do Capim,34831443,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-21.0925805568689,-46.2122941017137,311710,5310938,UBS CENTRAL II,RUA CRISTO REI,BELA VISTA,Conceição da Aparecida,Não se aplica,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-9.35214400291416,-40.519058704375,261110,5321697,UPS PEDRA LINDA,ESTRADA DAS BANANAS,PEDRA LINDA,Petrolina,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-7.244710922241,-41.804094314574,221170,5813603,POSTO DE SAUDE CANTO DA UMBURANA,POVOADO CANTO DA UMBURANA,ZONA RURAL,Wall Ferraz,8934520015,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-16.076871156692,-48.0761075019822,521523,5389127,POSTO DE SAUDE ALVORADA,AREA ESPECIAL,LUNABEL,Novo Gama,6193235052,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-10.9135973453519,-38.8758945465077,293190,5406447,USF JULIA MARIA DA SILVA PE DE SERRA,POVOADO PE DE SERRA,ZONA RURAL,Tucano,75 3272 2397,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-15.669282674789,-44.164910316466,312965,2104075,PROGRAMA DE SAUDE DA FAMILIA,RUA JOSE FERREIRA AMORIM,SANTO ANDRE,Ibiracatu,3836257117,Desempenho acima da média,Desempenho acima da média,Desempenho acima da média,Desempenho muito acima da média
-6.30997180938702,-40.6741762161243,231030,2610728,POSTO DE SAUDE DE FAGUNDES,DISTRITO DE FAGUNDES,FACUNDO,Parambu,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-21.9954121112817,-51.0257220268235,352920,2751321,UNIDADE BASICA DE SAUDE NAMICO SUGUIYAMA,RUA ANTONIO LINO DE OLIVEIRA,VILA ESCOCIA,Martinópolis,1832758100,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média
-15.2436375617977,-39.3521904945362,290225,3882195,UNIDADE DE SAUDE DA FAMILIA ASSENTAMENTO SANTO ANTONIO,ASSENTAMENTO SANTO ANTONIO,ZONA RURAL,Arataca,(73) 3673 1324,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-23.805,-53.684,411890,3921360,POSTO DE SAUDE DE PEROLA,RUA ARAUJO LIMA,CENTRO,Pérola,4436361429,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média
-3.98187875747669,-42.6234126090991,220680,2778408,PS DR JOSE DO REGO LAGES,AV CHAGAS RODRIGUES,CENTRO,Nossa Senhora dos Remédios,(86)245 1272,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-20.694208145141,-44.832565784453,314560,5997763,PSF D BOSCO OLIVEIRA MG,RUA BENJAMIN GUIMARAES,CENTRO,Oliveira,3733314770,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média
-20.565440654754,-43.6177611351001,314590,5553563,UBS DONATO SEVERINO DE SOUZA,RUA EVARISTO JOSE DE SOUZA,CRISTAIS,Ouro Branco,3137410301,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-19.9206161499018,-43.4672570228564,310540,5561574,PSF GEROLIVA DIAS DUARTE,RUA JOAO SAMUEL DE CARVALHO,GARCIA,Barão de Cocais,38371106,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média
-1.20216608047482,-47.1905493736253,150220,5624274,PSF INUSSUM,INUSSUN,INUSSUN,Capanema,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho acima da média,Desempenho acima da média
-32.015,-52.042,431850,5602718,ESTRATEGIA SAUDE DA FAMILIA HELIO ROSSANO,RUA 02,5 SECCAO DA BARRA,São José do Norte,5332386097,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
-3.26680183410635,-45.6519699096666,211400,2465620,POSTO DE SAUDE DA VILA BARROSO,VILA BARROSO,VILA BARROSO,Zé Doca,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média
